start_x,start_y,start_z,end_x,end_y,end_z,segment_start,segment_end,segment_length
488037.43939999957,5923426.801100001,-7,487999.77139999997,5923431.810799999,-7,6599.592108,6637.591783,37.999675
487999.77139999997,5923431.810799999,-7,487979.9167999998,5923434.2173999995,-7,6637.591783,6657.591705,19.999922
487979.9167999998,5923434.2173999995,-7,487961.0377000002,5923436.3564,-7,6657.591705,6676.591593,18.999888
487961.0377000002,5923436.3564,-7,487923.23330000043,5923440.2038,-7,6676.591593,6714.591266,37.999673
487923.23330000043,5923440.2038,-7,487885.37480000034,5923443.4761,-7,6714.591266,6752.590923,37.999657
487885.37480000034,5923443.4761,-7,487847.4709999999,5923446.172700001,-7,6752.590923,6790.590525,37.999601
487847.4709999999,5923446.172700001,-7,487827.50629999954,5923447.360400001,-7,6790.590525,6810.590521,19.999997
487827.50629999954,5923447.360400001,-7,487808.53170000017,5923448.3407000005,-7,6810.590521,6829.590428,18.999906
487808.53170000017,5923448.3407000005,-7,487770.5628000004,5923449.8686999995,-7,6829.590428,6867.590061,37.999634
487770.5628000004,5923449.8686999995,-7,487734.57469999976,5923450.7838,-7,6867.590061,6903.589794,35.999733
487734.57469999976,5923450.7838,-7,487697.5772000002,5923451.1842,-7,6903.589794,6940.589460,36.999667
487697.5772000002,5923451.1842,-7,487660.5778999999,5923451.0370000005,-7,6940.589460,6977.589053,36.999593
487660.5778999999,5923451.0370000005,-7,487623.58469999954,5923450.3422,-7,6977.589053,7014.588777,36.999724
487623.58469999954,5923450.3422,-7,487097.7720999997,5923436.3036,-7,7014.588777,7540.588751,525.999974
487097.7720999997,5923436.3036,-7,487096.77249999996,5923436.276900001,-8,7540.588751,7542.002934,1.414183
487096.77249999996,5923436.276900001,-8,485437.3638000004,5923391.9716,-8,7542.002934,9202.002992,1660.000058
485437.3638000004,5923391.9716,-8,485436.3641999997,5923391.9449000005,-9,9202.002992,9203.417175,1.414183
485436.3641999997,5923391.9449000005,-9,484330.75820000004,5923362.425799999,-9,9203.417175,10309.417177,1106.000002
484330.75820000004,5923362.425799999,-9,484329.75850000046,5923362.3991,-10,10309.417177,10310.831431,1.414254
484329.75850000046,5923362.3991,-10,483776.95550000016,5923347.6395,-10,10310.831431,10863.831433,553.000002
483776.95550000016,5923347.6395,-10,483775.9559000004,5923347.6128,-11,10863.831433,10865.245616,1.414183
483775.9559000004,5923347.6128,-11,483501.0537999999,5923340.2731,-11,10865.245616,11140.245681,275.000065
483501.0537999999,5923340.2731,-11,483500.05420000013,5923340.2464000005,-12,11140.245681,11141.659864,1.414183
483500.05420000013,5923340.2464000005,-12,482947.2511999998,5923325.4869,-12,11141.659864,11694.659864,553.000000
482947.2511999998,5923325.4869,-12,482946.2516000001,5923325.460200001,-13,11694.659864,11696.074046,1.414183
482946.2516000001,5923325.460200001,-13,482394.44820000045,5923310.727299999,-13,11696.074046,12248.074092,552.000046
482394.44820000045,5923310.727299999,-13,482393.44859999977,5923310.7006,-14,12248.074092,12249.488275,1.414183
482393.44859999977,5923310.7006,-14,482117.5469000004,5923303.3342,-14,12249.488275,12525.488297,276.000022
482117.5469000004,5923303.3342,-14,482116.5471999999,5923303.307499999,-15,12525.488297,12526.902550,1.414254
482116.5471999999,5923303.307499999,-15,480652.06909999996,5923264.207,-15,12526.902550,13991.902535,1464.999984
480652.06909999996,5923264.207,-15,480625.0751,5923263.6456,-15,13991.902535,14018.902372,26.999837
480625.0751,5923263.6456,-15,480598.07660000026,5923263.3758000005,-15,14018.902372,14045.902220,26.999848
480598.07660000026,5923263.3758000005,-15,480569.0767999999,5923263.410800001,-15,14045.902220,14074.902041,28.999821
